     PKT_No. 	    TimeStamp 	    ax(m/s^2) 	    ay(m/s^2) 	    az(m/s^2) 	    gx(rad/s) 	    gy(rad/s) 	    gz(rad/s) 
        10529 	        6.576 	         0.02 	         0.38 	         9.86 	         0.00 	         0.00 	         0.00 
        10530 	        6.592 	         0.03 	         0.40 	         9.86 	         0.00 	         0.00 	         0.00 
        10531 	        6.608 	         0.01 	         0.36 	         9.86 	         0.01 	        -0.00 	         0.00 
        10532 	        6.624 	        -0.03 	         0.37 	         9.85 	        -0.00 	         0.01 	         0.00 
        10533 	        6.640 	         0.04 	         0.37 	         9.85 	         0.00 	        -0.00 	         0.00 
        10534 	        6.656 	         0.03 	         0.37 	         9.87 	        -0.00 	         0.00 	         0.00 
        10535 	        6.672 	         0.02 	         0.39 	         9.85 	         0.00 	        -0.00 	         0.00 
        10536 	        6.688 	         0.00 	         0.37 	         9.85 	        -0.00 	        -0.00 	         0.00 
        10537 	        6.704 	         0.02 	         0.37 	         9.85 	        -0.00 	        -0.00 	        -0.00 
        10538 	        6.720 	         0.01 	         0.36 	         9.84 	        -0.00 	        -0.00 	        -0.00 
        10539 	        6.736 	        -0.02 	         0.37 	         9.88 	        -0.00 	         0.00 	         0.00 
        10540 	        6.752 	         0.01 	         0.40 	         9.86 	        -0.00 	        -0.00 	         0.00 
        10541 	        6.768 	         0.01 	         0.37 	         9.90 	        -0.00 	         0.00 	         0.00 
        10542 	        6.784 	         0.03 	         0.37 	         9.85 	         0.01 	        -0.00 	        -0.00 
        10543 	        6.800 	         0.04 	         0.38 	         9.88 	        -0.00 	         0.00 	         0.00 
        10544 	        6.816 	         0.00 	         0.36 	         9.88 	         0.00 	        -0.00 	         0.00 
        10545 	        6.832 	        -0.01 	         0.34 	         9.83 	         0.00 	        -0.00 	         0.00 
        10546 	        6.848 	         0.01 	         0.35 	         9.87 	         0.00 	         0.00 	         0.00 
        10547 	        6.864 	         0.02 	         0.38 	         9.82 	         0.00 	         0.00 	         0.00 
        10548 	        6.880 	        -0.02 	         0.36 	         9.88 	        -0.00 	        -0.00 	         0.00 
        10549 	        6.896 	        -0.01 	         0.39 	         9.87 	        -0.00 	         0.00 	         0.00 
        10550 	        6.912 	        -0.00 	         0.37 	         9.86 	         0.00 	         0.00 	         0.00 
        10551 	        6.928 	         0.01 	         0.38 	         9.86 	         0.00 	        -0.00 	         0.00 
        10552 	        6.944 	        -0.00 	         0.35 	         9.85 	        -0.00 	         0.00 	         0.00 
        10553 	        6.960 	         0.01 	         0.36 	         9.86 	         0.00 	        -0.00 	         0.00 
        10554 	        6.976 	         0.01 	         0.35 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10555 	        6.992 	         0.01 	         0.37 	         9.84 	         0.00 	        -0.00 	        -0.00 
        10556 	        7.008 	         0.01 	         0.36 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10557 	        7.024 	         0.01 	         0.37 	         9.86 	         0.00 	         0.00 	        -0.00 
        10558 	        7.040 	         0.02 	         0.34 	         9.86 	        -0.00 	        -0.00 	         0.00 
        10559 	        7.056 	         0.00 	         0.37 	         9.90 	        -0.00 	         0.00 	         0.00 
        10560 	        7.072 	         0.01 	         0.40 	         9.82 	         0.00 	         0.00 	         0.00 
        10561 	        7.088 	         0.00 	         0.35 	         9.87 	        -0.00 	         0.00 	         0.00 
        10562 	        7.104 	         0.00 	         0.38 	         9.86 	         0.00 	        -0.01 	        -0.00 
        10563 	        7.120 	         0.05 	         0.38 	         9.88 	        -0.00 	         0.01 	         0.00 
        10564 	        7.136 	        -0.03 	         0.38 	         9.84 	         0.00 	         0.00 	        -0.00 
        10565 	        7.152 	         0.02 	         0.38 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10566 	        7.168 	        -0.02 	         0.35 	         9.87 	         0.00 	        -0.00 	         0.00 
        10567 	        7.184 	         0.03 	         0.36 	         9.86 	        -0.00 	         0.00 	         0.00 
        10568 	        7.200 	        -0.02 	         0.36 	         9.85 	        -0.00 	         0.00 	         0.00 
        10569 	        7.216 	         0.01 	         0.39 	         9.87 	         0.00 	        -0.01 	         0.00 
        10570 	        7.232 	         0.02 	         0.35 	         9.87 	        -0.00 	         0.01 	         0.01 
        10571 	        7.248 	         0.01 	         0.34 	         9.81 	         0.01 	        -0.00 	        -0.00 
        10572 	        7.264 	         0.02 	         0.38 	         9.87 	        -0.01 	         0.00 	         0.00 
        10573 	        7.280 	        -0.02 	         0.34 	         9.86 	         0.00 	         0.00 	         0.00 
        10574 	        7.296 	         0.02 	         0.36 	         9.89 	         0.00 	        -0.01 	         0.00 
        10575 	        7.312 	        -0.01 	         0.38 	         9.87 	        -0.00 	         0.01 	         0.00 
        10576 	        7.328 	         0.01 	         0.35 	         9.87 	         0.00 	        -0.01 	         0.00 
        10577 	        7.344 	         0.04 	         0.38 	         9.87 	        -0.00 	         0.01 	        -0.00 
        10578 	        7.360 	        -0.00 	         0.33 	         9.85 	        -0.00 	         0.00 	         0.00 
        10579 	        7.376 	         0.03 	         0.36 	         9.89 	         0.00 	        -0.01 	         0.00 
        10580 	        7.392 	         0.03 	         0.37 	         9.86 	        -0.00 	         0.01 	         0.01 
        10581 	        7.408 	        -0.01 	         0.37 	         9.86 	         0.00 	        -0.01 	         0.00 
        10582 	        7.424 	         0.02 	         0.36 	         9.87 	         0.00 	        -0.00 	         0.00 
        10583 	        7.440 	         0.02 	         0.39 	         9.86 	        -0.00 	         0.01 	         0.00 
        10584 	        7.456 	        -0.00 	         0.39 	         9.86 	         0.01 	        -0.01 	         0.00 
        10585 	        7.472 	         0.02 	         0.37 	         9.83 	        -0.01 	         0.00 	         0.00 
        10586 	        7.488 	        -0.01 	         0.37 	         9.84 	         0.00 	         0.00 	         0.00 
        10587 	        7.504 	         0.03 	         0.38 	         9.88 	        -0.00 	         0.00 	         0.00 
        10588 	        7.520 	        -0.01 	         0.34 	         9.86 	         0.00 	         0.01 	         0.00 
        10589 	        7.536 	         0.01 	         0.36 	         9.86 	         0.00 	        -0.00 	        -0.00 
        10590 	        7.552 	         0.01 	         0.36 	         9.89 	         0.00 	         0.00 	         0.00 
        10591 	        7.568 	         0.00 	         0.39 	         9.85 	         0.00 	         0.00 	         0.00 
        10592 	        7.584 	        -0.01 	         0.37 	         9.90 	         0.00 	        -0.00 	         0.00 
        10593 	        7.600 	         0.02 	         0.36 	         9.88 	         0.00 	         0.00 	         0.00 
        10594 	        7.616 	        -0.03 	         0.35 	         9.82 	         0.00 	         0.00 	        -0.00 
        10595 	        7.632 	        -0.02 	         0.36 	         9.89 	         0.00 	        -0.01 	         0.00 
        10596 	        7.648 	        -0.01 	         0.38 	         9.84 	        -0.01 	         0.01 	         0.00 
        10597 	        7.664 	         0.01 	         0.38 	         9.89 	         0.00 	        -0.00 	         0.00 
        10598 	        7.680 	         0.04 	         0.38 	         9.87 	         0.00 	         0.00 	         0.00 
        10599 	        7.696 	         0.02 	         0.36 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10600 	        7.712 	         0.00 	         0.37 	         9.85 	        -0.00 	         0.00 	         0.00 
        10601 	        7.728 	         0.03 	         0.34 	         9.84 	         0.00 	         0.00 	         0.00 
        10602 	        7.744 	         0.02 	         0.38 	         9.84 	         0.00 	         0.00 	         0.00 
        10603 	        7.760 	        -0.00 	         0.36 	         9.87 	         0.00 	         0.00 	         0.00 
        10604 	        7.776 	         0.01 	         0.38 	         9.84 	         0.00 	         0.00 	         0.00 
        10605 	        7.792 	         0.01 	         0.35 	         9.86 	        -0.00 	         0.00 	        -0.00 
        10606 	        7.808 	         0.03 	         0.37 	         9.86 	         0.01 	        -0.00 	         0.01 
        10607 	        7.824 	         0.03 	         0.36 	         9.87 	         0.00 	         0.00 	         0.00 
        10608 	        7.840 	         0.03 	         0.35 	         9.85 	         0.00 	         0.00 	        -0.00 
        10609 	        7.856 	         0.02 	         0.40 	         9.82 	         0.00 	         0.00 	         0.00 
        10610 	        7.872 	        -0.05 	         0.36 	         9.88 	         0.00 	         0.00 	         0.00 
        10611 	        7.888 	         0.03 	         0.39 	         9.86 	        -0.00 	         0.00 	        -0.00 
        10612 	        7.904 	         0.05 	         0.34 	         9.88 	         0.00 	         0.00 	         0.00 
        10613 	        7.920 	        -0.00 	         0.37 	         9.86 	         0.00 	        -0.00 	         0.00 
        10614 	        7.936 	        -0.01 	         0.36 	         9.88 	        -0.00 	         0.00 	        -0.00 
        10615 	        7.952 	         0.01 	         0.39 	         9.86 	         0.00 	         0.00 	         0.00 
        10616 	        7.968 	         0.01 	         0.34 	         9.89 	        -0.00 	         0.00 	         0.00 
        10617 	        7.984 	         0.03 	         0.38 	         9.85 	         0.01 	        -0.00 	        -0.00 
        10618 	        8.000 	         0.03 	         0.37 	         9.85 	        -0.00 	         0.00 	         0.00 
        10619 	        8.016 	        -0.01 	         0.33 	         9.91 	         0.00 	        -0.00 	         0.00 
        10620 	        8.032 	         0.03 	         0.38 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10621 	        8.048 	         0.03 	         0.36 	         9.85 	         0.00 	         0.00 	         0.00 
        10622 	        8.064 	         0.01 	         0.40 	         9.88 	         0.00 	        -0.00 	         0.00 
        10623 	        8.080 	         0.04 	         0.36 	         9.88 	        -0.00 	        -0.00 	         0.00 
        10624 	        8.096 	         0.04 	         0.37 	         9.83 	        -0.00 	        -0.00 	         0.00 
        10625 	        8.112 	         0.01 	         0.35 	         9.87 	         0.00 	         0.00 	         0.00 
        10626 	        8.128 	         0.01 	         0.38 	         9.87 	         0.01 	        -0.00 	         0.00 
        10627 	        8.144 	         0.00 	         0.35 	         9.88 	         0.00 	        -0.00 	         0.00 
        10628 	        8.160 	         0.02 	         0.39 	         9.86 	         0.01 	        -0.00 	        -0.00 
        10629 	        8.176 	         0.01 	         0.37 	         9.85 	        -0.00 	         0.00 	         0.00 
        10630 	        8.192 	        -0.02 	         0.36 	         9.89 	         0.00 	        -0.00 	         0.00 
        10631 	        8.208 	         0.01 	         0.37 	         9.87 	        -0.00 	         0.00 	         0.00 
        10632 	        8.224 	         0.02 	         0.37 	         9.90 	        -0.00 	         0.00 	         0.00 
        10633 	        8.240 	         0.03 	         0.38 	         9.86 	         0.00 	        -0.00 	        -0.00 
        10634 	        8.256 	         0.01 	         0.37 	         9.90 	         0.00 	         0.00 	         0.00 
        10635 	        8.272 	         0.03 	         0.38 	         9.84 	         0.00 	        -0.00 	         0.00 
        10636 	        8.288 	         0.03 	         0.37 	         9.84 	         0.00 	         0.00 	         0.00 
        10637 	        8.304 	         0.02 	         0.41 	         9.86 	         0.00 	        -0.00 	         0.00 
        10638 	        8.320 	         0.00 	         0.35 	         9.86 	        -0.00 	         0.00 	        -0.00 
        10639 	        8.336 	         0.02 	         0.38 	         9.86 	         0.00 	        -0.00 	         0.00 
        10640 	        8.352 	        -0.00 	         0.37 	         9.85 	        -0.00 	         0.00 	         0.00 
        10641 	        8.368 	         0.01 	         0.38 	         9.87 	         0.00 	         0.00 	        -0.00 
        10642 	        8.384 	         0.02 	         0.38 	         9.84 	         0.00 	         0.00 	         0.00 
        10643 	        8.400 	         0.00 	         0.36 	         9.88 	         0.00 	         0.00 	         0.00 
        10644 	        8.416 	         0.02 	         0.38 	         9.86 	         0.00 	         0.00 	         0.00 
        10645 	        8.432 	         0.00 	         0.35 	         9.87 	         0.00 	        -0.00 	         0.00 
        10646 	        8.448 	        -0.01 	         0.38 	         9.85 	         0.01 	        -0.00 	         0.00 
        10647 	        8.464 	         0.03 	         0.37 	         9.89 	        -0.00 	         0.00 	         0.00 
        10648 	        8.480 	        -0.00 	         0.40 	         9.85 	         0.00 	         0.00 	         0.01 
        10649 	        8.496 	         0.03 	         0.37 	         9.85 	         0.00 	         0.00 	         0.00 
        10650 	        8.512 	         0.04 	         0.38 	         9.88 	        -0.00 	        -0.00 	         0.00 
        10651 	        8.528 	         0.00 	         0.37 	         9.83 	        -0.00 	         0.00 	         0.00 
        10652 	        8.544 	         0.04 	         0.38 	         9.87 	         0.00 	        -0.00 	         0.00 
        10653 	        8.560 	         0.02 	         0.36 	         9.86 	        -0.00 	         0.00 	         0.00 
        10654 	        8.576 	         0.00 	         0.40 	         9.89 	        -0.00 	         0.00 	         0.00 
        10655 	        8.592 	         0.03 	         0.37 	         9.83 	         0.00 	         0.00 	         0.00 
        10656 	        8.608 	         0.01 	         0.36 	         9.87 	         0.00 	        -0.00 	        -0.00 
        10657 	        8.624 	         0.02 	         0.40 	         9.85 	         0.00 	        -0.00 	         0.00 
        10658 	        8.640 	         0.02 	         0.36 	         9.87 	        -0.00 	         0.00 	         0.00 
        10659 	        8.656 	         0.01 	         0.34 	         9.86 	         0.00 	        -0.00 	         0.00 
        10660 	        8.672 	         0.01 	         0.41 	         9.85 	        -0.00 	         0.00 	         0.00 
        10661 	        8.688 	        -0.01 	         0.35 	         9.85 	         0.01 	         0.00 	         0.00 
        10662 	        8.704 	         0.03 	         0.40 	         9.82 	         0.00 	        -0.00 	         0.00 
        10663 	        8.720 	         0.00 	         0.37 	         9.87 	         0.00 	         0.00 	        -0.00 
        10664 	        8.736 	         0.00 	         0.37 	         9.85 	        -0.00 	         0.00 	         0.00 
        10665 	        8.752 	        -0.03 	         0.37 	         9.86 	         0.01 	        -0.00 	         0.00 
        10666 	        8.768 	        -0.01 	         0.38 	         9.84 	         0.00 	        -0.00 	         0.00 
        10667 	        8.784 	         0.01 	         0.36 	         9.89 	        -0.00 	        -0.00 	         0.00 
        10668 	        8.800 	         0.02 	         0.36 	         9.84 	         0.00 	        -0.00 	         0.00 
        10669 	        8.816 	         0.02 	         0.35 	         9.86 	         0.00 	         0.00 	         0.00 
        10670 	        8.832 	         0.03 	         0.38 	         9.91 	         0.00 	         0.00 	         0.00 
        10671 	        8.848 	         0.02 	         0.37 	         9.88 	         0.00 	         0.00 	         0.00 
        10672 	        8.864 	        -0.02 	         0.36 	         9.88 	         0.01 	        -0.00 	         0.00 
        10673 	        8.880 	         0.04 	         0.36 	         9.86 	         0.00 	        -0.00 	         0.00 
        10674 	        8.896 	        -0.02 	         0.37 	         9.86 	        -0.00 	         0.00 	         0.00 
        10675 	        8.912 	         0.03 	         0.35 	         9.87 	        -0.00 	         0.00 	         0.00 
        10676 	        8.928 	         0.01 	         0.40 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10677 	        8.944 	         0.03 	         0.37 	         9.84 	        -0.00 	         0.00 	         0.00 
        10678 	        8.960 	        -0.00 	         0.35 	         9.88 	         0.01 	         0.00 	         0.00 
        10679 	        8.976 	         0.04 	         0.37 	         9.85 	        -0.00 	        -0.00 	         0.00 
        10680 	        8.992 	        -0.02 	         0.34 	         9.89 	        -0.00 	         0.00 	         0.00 
        10681 	        9.008 	         0.02 	         0.37 	         9.83 	         0.01 	         0.00 	         0.00 
        10682 	        9.024 	        -0.01 	         0.35 	         9.86 	        -0.00 	         0.00 	         0.00 
        10683 	        9.040 	         0.03 	         0.36 	         9.88 	         0.00 	         0.00 	         0.00 
        10684 	        9.056 	         0.04 	         0.41 	         9.83 	         0.00 	         0.00 	         0.00 
        10685 	        9.072 	        -0.00 	         0.36 	         9.88 	         0.00 	         0.00 	         0.00 
        10686 	        9.088 	         0.02 	         0.36 	         9.85 	        -0.00 	        -0.00 	         0.00 
        10687 	        9.104 	         0.02 	         0.33 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10688 	        9.120 	         0.03 	         0.38 	         9.84 	         0.01 	         0.00 	        -0.00 
        10689 	        9.136 	         0.00 	         0.39 	         9.86 	         0.00 	        -0.00 	         0.00 
        10690 	        9.152 	         0.03 	         0.37 	         9.87 	         0.00 	        -0.00 	         0.00 
        10691 	        9.168 	        -0.02 	         0.36 	         9.85 	        -0.00 	         0.01 	         0.00 
        10692 	        9.184 	         0.04 	         0.36 	         9.87 	         0.01 	        -0.01 	         0.00 
        10693 	        9.200 	         0.00 	         0.36 	         9.88 	        -0.00 	         0.00 	         0.00 
        10694 	        9.216 	        -0.03 	         0.37 	         9.87 	         0.00 	         0.00 	         0.00 
        10695 	        9.232 	         0.06 	         0.37 	         9.84 	        -0.00 	        -0.00 	         0.00 
        10696 	        9.248 	         0.00 	         0.38 	         9.88 	        -0.00 	         0.00 	         0.00 
        10697 	        9.264 	         0.03 	         0.37 	         9.84 	         0.00 	        -0.00 	        -0.00 
        10698 	        9.280 	        -0.02 	         0.37 	         9.87 	        -0.00 	         0.00 	         0.01 
        10699 	        9.296 	         0.01 	         0.37 	         9.86 	         0.00 	         0.00 	         0.00 
        10700 	        9.312 	         0.03 	         0.36 	         9.86 	        -0.00 	         0.00 	         0.00 
        10701 	        9.328 	         0.02 	         0.38 	         9.84 	         0.00 	        -0.00 	         0.00 
        10702 	        9.344 	         0.02 	         0.32 	         9.84 	         0.00 	         0.00 	         0.00 
        10703 	        9.360 	         0.01 	         0.37 	         9.85 	         0.00 	        -0.00 	        -0.00 
        10704 	        9.376 	         0.03 	         0.38 	         9.84 	        -0.00 	         0.01 	         0.00 
        10705 	        9.392 	        -0.02 	         0.36 	         9.84 	         0.00 	         0.00 	         0.00 
        10706 	        9.408 	         0.04 	         0.37 	         9.88 	         0.00 	        -0.01 	        -0.00 
        10707 	        9.424 	         0.02 	         0.36 	         9.84 	        -0.00 	         0.01 	         0.00 
        10708 	        9.440 	        -0.01 	         0.37 	         9.84 	         0.01 	        -0.00 	         0.00 
        10709 	        9.456 	         0.05 	         0.38 	         9.87 	         0.00 	        -0.00 	         0.00 
        10710 	        9.472 	        -0.00 	         0.37 	         9.88 	         0.00 	        -0.00 	         0.00 
        10711 	        9.488 	         0.02 	         0.38 	         9.85 	         0.01 	         0.00 	        -0.00 
        10712 	        9.504 	         0.01 	         0.36 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10713 	        9.520 	         0.01 	         0.39 	         9.85 	        -0.00 	         0.00 	         0.00 
        10714 	        9.536 	         0.04 	         0.39 	         9.84 	         0.00 	        -0.00 	         0.00 
        10715 	        9.552 	         0.03 	         0.38 	         9.86 	         0.00 	         0.00 	        -0.00 
        10716 	        9.568 	         0.03 	         0.37 	         9.85 	        -0.00 	         0.00 	         0.00 
        10717 	        9.584 	         0.00 	         0.36 	         9.90 	         0.00 	        -0.00 	         0.00 
        10718 	        9.600 	         0.02 	         0.38 	         9.84 	        -0.00 	         0.00 	         0.00 
        10719 	        9.616 	         0.02 	         0.35 	         9.87 	         0.00 	         0.00 	         0.00 
        10720 	        9.632 	         0.02 	         0.38 	         9.89 	         0.01 	         0.00 	         0.00 
        10721 	        9.648 	         0.00 	         0.39 	         9.84 	        -0.00 	         0.00 	         0.00 
        10722 	        9.664 	         0.02 	         0.35 	         9.87 	         0.00 	        -0.00 	        -0.00 
        10723 	        9.680 	         0.05 	         0.39 	         9.86 	         0.00 	         0.01 	         0.00 
        10724 	        9.696 	        -0.02 	         0.34 	         9.87 	         0.00 	         0.00 	         0.00 
        10725 	        9.712 	         0.02 	         0.34 	         9.89 	         0.00 	        -0.00 	         0.00 
        10726 	        9.728 	         0.01 	         0.36 	         9.86 	         0.00 	         0.00 	         0.00 
        10727 	        9.744 	         0.02 	         0.38 	         9.86 	         0.00 	        -0.00 	        -0.00 
        10728 	        9.760 	         0.02 	         0.35 	         9.89 	         0.00 	         0.00 	         0.00 
        10729 	        9.776 	        -0.00 	         0.38 	         9.85 	         0.00 	         0.01 	         0.00 
        10730 	        9.792 	        -0.00 	         0.33 	         9.88 	         0.00 	         0.00 	         0.00 
        10731 	        9.808 	        -0.00 	         0.37 	         9.85 	         0.00 	         0.00 	         0.00 
        10732 	        9.824 	        -0.01 	         0.38 	         9.88 	         0.00 	        -0.00 	         0.00 
        10733 	        9.840 	         0.01 	         0.37 	         9.88 	         0.00 	         0.00 	         0.00 
        10734 	        9.856 	         0.02 	         0.37 	         9.82 	        -0.00 	         0.00 	         0.00 
        10735 	        9.872 	         0.02 	         0.35 	         9.87 	         0.00 	        -0.00 	         0.00 
        10736 	        9.888 	         0.01 	         0.38 	         9.85 	         0.00 	         0.00 	         0.00 
        10737 	        9.904 	         0.00 	         0.36 	         9.86 	        -0.00 	         0.00 	         0.00 
        10738 	        9.920 	         0.02 	         0.40 	         9.85 	         0.00 	        -0.00 	         0.00 
        10739 	        9.936 	         0.01 	         0.38 	         9.86 	         0.01 	         0.00 	        -0.00 
        10740 	        9.952 	         0.01 	         0.38 	         9.87 	         0.00 	        -0.00 	        -0.00 
        10741 	        9.968 	         0.04 	         0.35 	         9.85 	        -0.00 	         0.01 	         0.00 
        10742 	        9.984 	         0.01 	         0.37 	         9.86 	         0.00 	         0.00 	        -0.00 
        10743 	       10.000 	        -0.02 	         0.33 	         9.87 	         0.00 	        -0.00 	         0.00 
        10744 	       10.016 	        -0.01 	         0.39 	         9.84 	         0.00 	         0.00 	         0.00 
        10745 	       10.032 	        -0.01 	         0.40 	         9.84 	        -0.00 	        -0.00 	         0.00 
        10746 	       10.048 	         0.04 	         0.36 	         9.88 	         0.01 	         0.00 	         0.00 
        10747 	       10.064 	         0.02 	         0.39 	         9.84 	        -0.00 	         0.00 	         0.00 
        10748 	       10.080 	         0.03 	         0.36 	         9.89 	        -0.00 	        -0.00 	         0.00 
        10749 	       10.096 	         0.03 	         0.36 	         9.87 	         0.00 	        -0.00 	         0.00 
        10750 	       10.112 	        -0.03 	         0.35 	         9.87 	        -0.00 	         0.00 	         0.00 
        10751 	       10.128 	         0.01 	         0.39 	         9.84 	        -0.00 	        -0.00 	         0.00 
        10752 	       10.144 	        -0.01 	         0.34 	         9.85 	        -0.00 	         0.00 	         0.00 
        10753 	       10.160 	         0.02 	         0.38 	         9.88 	         0.00 	        -0.00 	         0.00 
        10754 	       10.176 	         0.02 	         0.39 	         9.85 	        -0.00 	         0.00 	         0.00 
        10755 	       10.192 	        -0.00 	         0.38 	         9.88 	         0.00 	         0.00 	         0.00 
        10756 	       10.208 	         0.03 	         0.37 	         9.86 	         0.00 	        -0.00 	         0.00 
        10757 	       10.224 	         0.00 	         0.37 	         9.88 	        -0.00 	         0.00 	         0.00 
        10758 	       10.240 	         0.04 	         0.37 	         9.85 	        -0.00 	        -0.00 	         0.00 
        10759 	       10.256 	         0.01 	         0.33 	         9.88 	        -0.00 	        -0.00 	         0.00 
        10760 	       10.272 	         0.00 	         0.36 	         9.84 	        -0.00 	         0.00 	         0.00 
        10761 	       10.288 	         0.02 	         0.35 	         9.88 	        -0.00 	         0.00 	         0.00 
        10762 	       10.304 	         0.00 	         0.36 	         9.85 	         0.01 	         0.00 	         0.00 
        10763 	       10.320 	        -0.01 	         0.37 	         9.82 	         0.00 	         0.00 	         0.00 
        10764 	       10.336 	         0.03 	         0.40 	         9.85 	         0.00 	        -0.00 	         0.00 
        10765 	       10.352 	         0.02 	         0.42 	         9.86 	        -0.00 	         0.01 	         0.00 
        10766 	       10.368 	        -0.02 	         0.38 	         9.85 	         0.00 	        -0.00 	        -0.00 
        10767 	       10.384 	         0.02 	         0.38 	         9.88 	        -0.00 	        -0.00 	        -0.00 
        10768 	       10.400 	         0.03 	         0.32 	         9.89 	         0.00 	         0.00 	        -0.00 
        10769 	       10.416 	         0.03 	         0.38 	         9.85 	        -0.00 	        -0.00 	         0.00 
        10770 	       10.432 	        -0.01 	         0.38 	         9.85 	        -0.00 	        -0.00 	        -0.00 
        10771 	       10.448 	        -0.01 	         0.43 	         9.85 	         0.00 	         0.00 	         0.00 
        10772 	       10.464 	         0.05 	         0.38 	         9.85 	        -0.01 	         0.01 	         0.00 
        10773 	       10.480 	         0.03 	         0.30 	         9.85 	         0.00 	         0.00 	        -0.00 
        10774 	       10.496 	         0.05 	         0.34 	         9.84 	         0.00 	        -0.00 	        -0.00 
        10775 	       10.512 	        -0.05 	         0.41 	         9.90 	         0.00 	        -0.00 	         0.00 
        10776 	       10.528 	        -0.13 	         0.71 	         9.93 	         0.01 	        -0.01 	        -0.00 
        10777 	       10.544 	        -0.04 	         0.20 	         9.82 	        -0.00 	         0.02 	         0.01 
        10778 	       10.560 	        -0.10 	         0.50 	         9.86 	         0.01 	        -0.01 	         0.00 
        10779 	       10.576 	         0.04 	         0.56 	         9.94 	        -0.00 	        -0.01 	        -0.00 
        10780 	       10.592 	        -0.10 	         0.26 	         9.80 	        -0.02 	         0.04 	         0.01 
        10781 	       10.608 	         0.06 	         0.27 	         9.79 	         0.01 	        -0.04 	        -0.00 
        10782 	       10.624 	         0.18 	         0.40 	         9.94 	         0.01 	        -0.01 	         0.00 
        10783 	       10.640 	        -0.11 	         0.27 	         9.84 	        -0.01 	         0.05 	         0.01 
        10784 	       10.656 	        -0.14 	         0.46 	         9.87 	         0.01 	        -0.03 	         0.00 
        10785 	       10.672 	         0.06 	         0.49 	         9.95 	         0.00 	        -0.01 	         0.00 
        10786 	       10.688 	         0.03 	         0.28 	         9.83 	        -0.01 	         0.03 	         0.00 
        10787 	       10.704 	         0.06 	         0.24 	         9.77 	         0.01 	        -0.02 	         0.00 
        10788 	       10.720 	         0.07 	         0.44 	         9.95 	         0.01 	        -0.01 	         0.00 
        10789 	       10.736 	        -0.06 	         0.44 	         9.85 	        -0.01 	         0.03 	         0.00 
        10790 	       10.752 	        -0.07 	         0.38 	         9.86 	         0.00 	        -0.01 	         0.00 
        10791 	       10.768 	         0.10 	         0.42 	         9.88 	         0.00 	        -0.01 	        -0.00 
        10792 	       10.784 	         0.09 	         0.28 	         9.82 	        -0.01 	         0.03 	         0.00 
        10793 	       10.800 	         0.02 	         0.29 	         9.82 	         0.00 	        -0.01 	         0.00 
        10794 	       10.816 	        -0.03 	         0.48 	         9.90 	         0.00 	        -0.01 	         0.00 
        10795 	       10.832 	        -0.06 	         0.43 	         9.88 	        -0.01 	         0.02 	         0.00 
        10796 	       10.848 	        -0.02 	         0.34 	         9.80 	        -0.00 	        -0.00 	        -0.00 
        10797 	       10.864 	         0.08 	         0.32 	         9.89 	         0.01 	        -0.02 	        -0.00 
        10798 	       10.880 	         0.05 	         0.35 	         9.86 	         0.00 	         0.01 	         0.00 
        10799 	       10.896 	         0.01 	         0.36 	         9.87 	         0.01 	        -0.00 	         0.00 
        10800 	       10.912 	         0.01 	         0.46 	         9.90 	         0.00 	        -0.01 	         0.00 
        10801 	       10.928 	         0.00 	         0.41 	         9.88 	        -0.00 	         0.01 	         0.00 
        10802 	       10.944 	        -0.01 	         0.31 	         9.81 	         0.00 	         0.00 	         0.00 
        10803 	       10.960 	         0.05 	         0.34 	         9.87 	         0.00 	        -0.01 	         0.00 
        10804 	       10.976 	         0.05 	         0.40 	         9.87 	        -0.00 	         0.01 	         0.00 
        10805 	       10.992 	        -0.04 	         0.38 	         9.88 	        -0.00 	         0.01 	         0.00 
        10806 	       11.008 	        -0.02 	         0.40 	         9.86 	         0.00 	        -0.01 	        -0.00 
        10807 	       11.024 	         0.03 	         0.39 	         9.87 	        -0.00 	         0.00 	        -0.00 
        10808 	       11.040 	        -0.00 	         0.31 	         9.85 	         0.00 	         0.01 	         0.00 
        10809 	       11.056 	         0.03 	         0.37 	         9.87 	         0.00 	        -0.00 	         0.00 
        10810 	       11.072 	         0.02 	         0.40 	         9.93 	        -0.00 	         0.00 	         0.00 
        10811 	       11.088 	        -0.04 	         0.39 	         9.86 	         0.00 	         0.01 	         0.00 
        10812 	       11.104 	        -0.01 	         0.34 	         9.85 	         0.00 	        -0.01 	        -0.00 
        10813 	       11.120 	         0.06 	         0.38 	         9.86 	        -0.00 	         0.00 	         0.00 
        10814 	       11.136 	         0.02 	         0.32 	         9.86 	        -0.00 	         0.01 	         0.00 
        10815 	       11.152 	         0.01 	         0.38 	         9.85 	         0.00 	        -0.00 	         0.00 
        10816 	       11.168 	        -0.01 	         0.41 	         9.90 	        -0.00 	         0.00 	         0.00 
