     PKT_No. 	    TimeStamp 	    ax(m/s^2) 	    ay(m/s^2) 	    az(m/s^2) 	    gx(rad/s) 	    gy(rad/s) 	    gz(rad/s) 
        10181 	        1.008 	        -0.05 	         0.38 	         9.89 	         0.01 	        -0.00 	         0.00 
        10182 	        1.024 	         0.03 	         0.36 	         9.91 	        -0.01 	         0.00 	         0.00 
        10183 	        1.040 	        -0.02 	         0.37 	         9.88 	        -0.01 	         0.01 	         0.00 
        10184 	        1.056 	         0.03 	         0.46 	         9.84 	         0.01 	        -0.00 	         0.00 
        10185 	        1.072 	         0.01 	         0.38 	         9.86 	        -0.00 	        -0.00 	         0.00 
        10186 	        1.088 	         0.00 	         0.42 	         9.86 	        -0.00 	         0.00 	         0.00 
        10187 	        1.104 	         0.00 	         0.39 	         9.89 	         0.00 	         0.00 	         0.00 
        10188 	        1.120 	        -0.00 	         0.39 	         9.86 	         0.00 	         0.00 	         0.00 
        10189 	        1.136 	        -0.00 	         0.34 	         9.86 	        -0.00 	        -0.00 	         0.00 
        10190 	        1.152 	         0.03 	         0.36 	         9.89 	         0.00 	        -0.00 	         0.00 
        10191 	        1.168 	         0.04 	         0.41 	         9.84 	         0.01 	        -0.00 	        -0.00 
        10192 	        1.184 	        -0.02 	         0.36 	         9.87 	         0.00 	        -0.00 	         0.00 
        10193 	        1.200 	         0.01 	         0.39 	         9.84 	         0.00 	         0.00 	         0.00 
        10194 	        1.216 	        -0.01 	         0.39 	         9.86 	        -0.00 	         0.00 	         0.00 
        10195 	        1.232 	        -0.01 	         0.38 	         9.87 	         0.00 	        -0.00 	        -0.00 
        10196 	        1.248 	        -0.01 	         0.37 	         9.88 	        -0.00 	         0.00 	         0.00 
        10197 	        1.264 	         0.00 	         0.36 	         9.88 	         0.01 	        -0.00 	         0.00 
        10198 	        1.280 	        -0.01 	         0.35 	         9.88 	        -0.00 	        -0.00 	         0.00 
        10199 	        1.296 	         0.03 	         0.34 	         9.85 	         0.00 	        -0.00 	         0.00 
        10200 	        1.312 	         0.01 	         0.38 	         9.85 	         0.00 	        -0.00 	         0.00 
        10201 	        1.328 	         0.02 	         0.37 	         9.84 	         0.00 	        -0.00 	         0.00 
        10202 	        1.344 	        -0.01 	         0.35 	         9.86 	         0.00 	         0.00 	         0.01 
        10203 	        1.360 	         0.01 	         0.41 	         9.84 	         0.01 	        -0.00 	         0.00 
        10204 	        1.376 	         0.02 	         0.37 	         9.89 	        -0.00 	         0.00 	         0.00 
        10205 	        1.392 	        -0.02 	         0.38 	         9.85 	         0.01 	        -0.00 	         0.00 
        10206 	        1.408 	         0.01 	         0.37 	         9.85 	         0.00 	         0.00 	         0.00 
        10207 	        1.424 	         0.03 	         0.37 	         9.85 	         0.00 	         0.00 	         0.00 
        10208 	        1.440 	         0.02 	         0.36 	         9.86 	        -0.00 	         0.00 	         0.00 
        10209 	        1.456 	        -0.10 	         0.31 	         9.92 	        -0.00 	         0.01 	         0.00 
        10210 	        1.472 	         0.05 	         0.36 	         9.83 	         0.01 	        -0.02 	        -0.00 
        10211 	        1.488 	         0.03 	         0.39 	         9.83 	         0.01 	        -0.00 	        -0.00 
        10212 	        1.504 	         0.01 	         0.35 	         9.84 	        -0.00 	         0.00 	         0.00 
        10213 	        1.520 	        -0.00 	         0.39 	         9.87 	         0.00 	         0.00 	         0.00 
        10214 	        1.536 	        -0.01 	         0.39 	         9.83 	         0.00 	         0.00 	         0.00 
        10215 	        1.552 	        -0.00 	         0.35 	         9.90 	         0.00 	         0.00 	         0.00 
        10216 	        1.568 	         0.01 	         0.37 	         9.87 	        -0.00 	         0.00 	         0.00 
        10217 	        1.584 	        -0.00 	         0.37 	         9.87 	         0.00 	        -0.00 	         0.00 
        10218 	        1.600 	        -0.02 	         0.38 	         9.88 	         0.00 	        -0.00 	         0.00 
        10219 	        1.616 	        -0.01 	         0.37 	         9.84 	         0.00 	         0.00 	         0.00 
        10220 	        1.632 	         0.02 	         0.36 	         9.87 	         0.01 	        -0.01 	         0.00 
        10221 	        1.648 	         0.03 	         0.40 	         9.86 	         0.00 	        -0.00 	         0.00 
        10222 	        1.664 	         0.01 	         0.35 	         9.84 	         0.01 	         0.00 	         0.00 
        10223 	        1.680 	         0.03 	         0.39 	         9.85 	         0.00 	        -0.01 	        -0.00 
        10224 	        1.696 	         0.01 	         0.37 	         9.87 	         0.00 	         0.00 	         0.01 
        10225 	        1.712 	         0.01 	         0.38 	         9.83 	         0.00 	         0.00 	         0.00 
        10226 	        1.728 	         0.03 	         0.35 	         9.87 	         0.00 	        -0.00 	        -0.00 
        10227 	        1.744 	        -0.00 	         0.40 	         9.86 	        -0.00 	         0.01 	         0.00 
        10228 	        1.760 	        -0.01 	         0.40 	         9.85 	        -0.00 	        -0.00 	         0.00 
